slug,district,name,party_name,party_abbr,vote
arghakhanchi-1,Arghakhanchi,Hari Prasad Bhusal,Rastriya Swatantra Party,RSP,35023
arghakhanchi-1,Arghakhanchi,Pitambar Bhusal,CPN-UML,CPN-UML,22649
arghakhanchi-1,Arghakhanchi,Bishnu Prasad Khanal,Nepali Congress,NC,18983
baglung-1,Baglung,Sushil Khadka,Rastriya Swatantra Party,RSP,20927
baglung-1,Baglung,Bhim Bahadur Shrees Rana,Nepali Congress,NC,11944
baglung-1,Baglung,Hira Bahadur Khatri,CPN-UML,CPN-UML,8640
baglung-2,Baglung,Som Sharma,Rastriya Swatantra Party,RSP,12647
baglung-2,Baglung,Tek Raj Paudel,Nepali Congress,NC,11868
baglung-2,Baglung,Gyanmanath Gaire,Nepal Communist Party,NCP,10709
baitadi-1,Baitadi,Hari Mohan Bhandari,Rastriya Swatantra Party,RSP,22134
baitadi-1,Baitadi,Chatur Bahadur Chanda,Nepali Congress,NC,18194
baitadi-1,Baitadi,Damodar Bhandari,CPN-UML,CPN-UML,17091
banke-1,Banke,Suresh Kumar Chaudhary,Rastriya Swatantra Party,RSP,32792
banke-1,Banke,Narayan Prasad Goudel,Nepali Congress,NC,15301
banke-1,Banke,Surya Prasad Dhakal,CPN-UML,CPN-UML,11095
banke-3,Banke,Khagendra Sunar,Rastriya Swatantra Party,RSP,29551
banke-3,Banke,Suman Malla,CPN-UML,CPN-UML,19615
banke-3,Banke,Amar Singh Pun,Nepali Congress,NC,13215
bara-1,Bara,Ganesh Dhimal,Rastriya Swatantra Party,RSP,39998
bara-1,Bara,Shambhubahadur Budhathoki,Nepali Congress,NC,14223
bara-1,Bara,Achyutprasad Mainali,CPN-UML,CPN-UML,11645
bara-2,Bara,Chandankumar Singh,Rastriya Swatantra Party,RSP,35590
bara-2,Bara,Ramkishorprasad Yadav,Janata Samajwadi Party,JSP,14196
bara-2,Bara,Bhaiyaraprasad Yadav,Nepali Congress,NC,11837
bara-3,Bara,Arbind Sah,Rastriya Swatantra Party,RSP,40697
bara-3,Bara,Pharamullaha Mansur,Nepali Congress,NC,10052
bara-3,Bara,Rambabukumar Yadav,Janata Samajwadi Party,JSP,6884
bara-4,Bara,Rahabar Ansari,Rastriya Swatantra Party,RSP,41200
bara-4,Bara,Krishnakumar Shrestha,CPN-UML,CPN-UML,11639
bara-4,Bara,Sanjusah Kanu,Janata Samajwadi Party,JSP,7593
bardiya-1,Bardiya,Thakur Singh Tharu,Rastriya Swatantra Party,RSP,49631
bardiya-1,Bardiya,Salik Ram Adhikari,CPN-UML,CPN-UML,14643
bardiya-1,Bardiya,Sanjay Kumar Gautam,Nepali Congress,NC,12722
bardiya-2,Bardiya,Shreedhar Pokharel,Rastriya Swatantra Party,RSP,29678
bardiya-2,Bardiya,Kishor Singh Rathore,Nepali Congress,NC,20402
bardiya-2,Bardiya,Suresh Pantha,Nepal Communist Party,NCP,19180
bhaktapur-1,Bhaktapur,Rukesh Ranjit,Rastriya Swatantra Party,RSP,33436
bhaktapur-1,Bhaktapur,Prem Suwal,Nepal Majdoor Kisan Party,NeMaKiPa,28147
bhaktapur-1,Bhaktapur,Kiran Neupane,Nepali Congress,NC,4282
bhaktapur-2,Bhaktapur,Rajiv Khatri,Rastriya Swatantra Party,RSP,42334
bhaktapur-2,Bhaktapur,Mahesh Basnet,CPN-UML,CPN-UML,10996
bhaktapur-2,Bhaktapur,Kavir Rana,Nepali Congress,NC,8401
chitwan-1,Chitwan,Hari Dhakal,Rastriya Swatantra Party,RSP,58208
chitwan-1,Chitwan,Rajendra Prasad Burlakoti,Nepali Congress,NC,13033
chitwan-1,Chitwan,Dawa Dorje Lama,CPN-UML,CPN-UML,10899
chitwan-2,Chitwan,Rabi Lamichhane,Rastriya Swatantra Party,RSP,54402
chitwan-2,Chitwan,Meena Kumari Kharel,Nepali Congress,NC,14564
chitwan-2,Chitwan,Ashim Ghimire,CPN-UML,CPN-UML,6992
chitwan-3,Chitwan,Sobita Gautam,Rastriya Swatantra Party,RSP,59277
chitwan-3,Chitwan,Renu Dahal,Nepal Communist Party,NCP,20615
chitwan-3,Chitwan,Tek Prasad Gurung,Nepali Congress,NC,8344
dadeldhura-1,Dadeldhura,Tara Prasad Joshi,Rastriya Swatantra Party,RSP,19131
dadeldhura-1,Dadeldhura,Nain Singh Mahar,Nepali Congress,NC,12121
dadeldhura-1,Dadeldhura,Man Singh Mal,Nepal Communist Party,NCP,6834
dang-1,Dang,Devaraj Pathak,Rastriya Swatantra Party,RSP,42602
dang-1,Dang,Yogendra Chaudhary,Nepali Congress,NC,15280
dang-1,Dang,Rewatiraman Sharma Ghimire,CPN-UML,CPN-UML,6825
dang-2,Dang,Bipin Kumar Acharya,Rastriya Swatantra Party,RSP,43559
dang-2,Dang,Shankar Pokhrael,CPN-UML,CPN-UML,15287
dang-2,Dang,Kiran Kishor Ghimire,Nepali Congress,NC,11558
dang-3,Dang,Kamal Subedi,Rastriya Swatantra Party,RSP,44248
dang-3,Dang,Deepak Giri,Nepali Congress,NC,16453
dang-3,Dang,Ghanshyam Pandey,CPN-UML,CPN-UML,12195
dhading-1,Dhading,Aashika Tamang,Rastriya Swatantra Party,RSP,39128
dhading-1,Dhading,Bhumi Prasad Tripathi,CPN-UML,CPN-UML,15032
dhading-1,Dhading,Rajendra Prasad Pandey,Nepal Communist Party,NCP,14709
dhading-2,Dhading,Bodh Narayan Shrestha,Rastriya Swatantra Party,RSP,26145
dhading-2,Dhading,Ramesh Prasad Dhamala,Nepali Congress,NC,20279
dhading-2,Dhading,Dhan Bahadur Ghale,CPN-UML,CPN-UML,10084
dhanusha-2,Dhanusha,Ram Binod Yadav,Rastriya Swatantra Party,RSP,41637
dhanusha-2,Dhanusha,Dinesh Prasad Yadav Parsaila,Nepali Congress,NC,10198
dhanusha-2,Dhanusha,Umashankar Argariya,CPN-UML,CPN-UML,10153
dhanusha-3,Dhanusha,Manish Jha,Rastriya Swatantra Party,RSP,43988
dhanusha-3,Dhanusha,Bimalendra Nidhi,Nepali Congress,NC,16652
dhanusha-3,Dhanusha,Juli Kumari Mahato (Mahaseth),CPN-UML,CPN-UML,9786
dhanusha-4,Dhanusha,Raj Kishor Mahato,Rastriya Swatantra Party,RSP,48270
dhanusha-4,Dhanusha,Mahendra Yadav,Nepali Congress,NC,15809
dhanusha-4,Dhanusha,Raghubir Mahaseth,CPN-UML,CPN-UML,11529
dolakha-1,Dolakha,Jagadish Kharel,Rastriya Swatantra Party,RSP,32376
dolakha-1,Dolakha,Parbat Gurung,CPN-UML,CPN-UML,17449
dolakha-1,Dolakha,Bishal Khadka,Nepal Communist Party,NCP,13065
gorkha-1,Gorkha,Sudhan Gurung,Rastriya Swatantra Party,RSP,29896
gorkha-1,Gorkha,Prem Kumar Khatri,Nepali Congress,NC,15398
gorkha-1,Gorkha,Hari Raj Adhikari,Nepal Communist Party,NCP,11124
gorkha-2,Gorkha,Kabindra Burlakoti,Rastriya Swatantra Party,RSP,26660
gorkha-2,Gorkha,Prakash Chandra Dawadi,Nepali Congress,NC,11700
gorkha-2,Gorkha,Lekhnath Neupane,Nepal Communist Party,NCP,11073
gulmi-1,Gulmi,Sagar Dhakal,Rastriya Swatantra Party,RSP,29642
gulmi-1,Gulmi,Pradip Kumar Gyawali,CPN-UML,CPN-UML,15181
gulmi-1,Gulmi,Chandrakant Bhandari,Nepali Congress,NC,13505
gulmi-2,Gulmi,Govinda Panthi,Rastriya Swatantra Party,RSP,16967
gulmi-2,Gulmi,Gokarnaraj Bista,CPN-UML,CPN-UML,16406
gulmi-2,Gulmi,Bhuwan Prasad Shrestha,Nepali Congress,NC,14434
jhapa-1,Jhapa,Nisha Dangi,Rastriya Swatantra Party,RSP,45680
jhapa-1,Jhapa,Keshav Raj Pandey,Nepali Congress,NC,10550
jhapa-1,Jhapa,Kevalram Rai,Shram Sanskriti Party,SSP,10004
jhapa-2,Jhapa,Indira Rana Magar,Rastriya Swatantra Party,RSP,60110
jhapa-2,Jhapa,Dev Raj Ghimire,CPN-UML,CPN-UML,11368
jhapa-2,Jhapa,Keshav Kumar Bhandari,Shram Sanskriti Party,SSP,7291
jhapa-3,Jhapa,Prakash Pathak,Rastriya Swatantra Party,RSP,38674
jhapa-3,Jhapa,Rajendra Prasad Lingden,Rastriya Prajatantra Party,RPP,17294
jhapa-3,Jhapa,Rajendra Kumar Ghimire,Nepali Congress,NC,8199
jhapa-4,Jhapa,Shambhu Prasad Dhakal,Rastriya Swatantra Party,RSP,43631
jhapa-4,Jhapa,Lal Prasad Sawa Limbu,CPN-UML,CPN-UML,11986
jhapa-4,Jhapa,Deu Kumar Thewe,Nepali Congress,NC,9434
jhapa-5,Jhapa,Balendra Shah,Rastriya Swatantra Party,RSP,68348
jhapa-5,Jhapa,KP Sharma Oli,CPN-UML,CPN-UML,18734
jhapa-5,Jhapa,Samir Tamang,Shram Sanskriti Party,SSP,9233
kailali-1,Kailali,Komal Gyawali,Rastriya Swatantra Party,RSP,17826
kailali-1,Kailali,Jankaraj Chaudhary,Nepali Congress,NC,12867
kailali-1,Kailali,Ramlal Dagaura Tharu,Nepal Communist Party,NCP,8392
kailali-2,Kailali,K.P. Khanal,Rastriya Swatantra Party,RSP,19057
kailali-2,Kailali,Pati Ram Chaudhary,Nepal Sangyhia Samajbadi Party,Ekal Chunab Chinha,11949
kailali-2,Kailali,Surya Bahadur Thapa,CPN-UML,CPN-UML,7886
kailali-3,Kailali,Jagat Prasad Joshi,Rastriya Swatantra Party,RSP,20359
kailali-3,Kailali,Birman Chaudhary,Nepal Communist Party,NCP,11983
kailali-3,Kailali,Bhim Baduwal,Nepali Congress,NC,9706
kailali-4,Kailali,Khem Raj Koirala,Rastriya Swatantra Party,RSP,28556
kailali-4,Kailali,Gorakh Bahadur Bista,Nepali Congress,NC,11301
kailali-4,Kailali,Kamal Rajwar,Rastriya Prajatantra Party,RPP,10358
kailali-5,Kailali,Ananda Bahadur Chanda,Rastriya Swatantra Party,RSP,31953
kailali-5,Kailali,Nar Narayan Shah,Nepali Congress,NC,11958
kailali-5,Kailali,Prem Bahadur Ale,Nepal Communist Party,NCP,7876
kanchanpur-1,Kanchanpur,Janak Singh Dhami,Rastriya Swatantra Party,RSP,24332
kanchanpur-1,Kanchanpur,Bina Magar,Nepal Communist Party,NCP,11110
kanchanpur-1,Kanchanpur,Gopi Prasad Upadhyaya,Nepali Congress,NC,8467
kanchanpur-2,Kanchanpur,Deepak Raj Bohara,Rastriya Swatantra Party,RSP,33952
kanchanpur-2,Kanchanpur,Narayan Prakash Saud,Nepali Congress,NC,10827
kanchanpur-2,Kanchanpur,Bachan Bahadur Singh,CPN-UML,CPN-UML,6418
kanchanpur-3,Kanchanpur,Gyanendra Singh Mehta,Rastriya Swatantra Party,RSP,27118
kanchanpur-3,Kanchanpur,Hari Prasad Bohara,Nepali Congress,NC,9443
kanchanpur-3,Kanchanpur,Deepak Prakash Bhatta,CPN-UML,CPN-UML,7575
kapilvastu-1,Kapilvastu,Mohan Lal Acharya,Rastriya Swatantra Party,RSP,34148
kapilvastu-1,Kapilvastu,Ashish Sharma,Independent,IND,15860
kapilvastu-1,Kapilvastu,Atahar Kamal Musalman,Nepali Congress,NC,14582
kapilvastu-2,Kapilvastu,Bikram Thapa,Rastriya Swatantra Party,RSP,27635
kapilvastu-2,Kapilvastu,Surendra Raj Acharya,Nepali Congress,NC,21527
kapilvastu-2,Kapilvastu,Brijesh Kumar Gupta,Nepal Communist Party,NCP,20482
kaski-1,Kaski,Khadak Raj Paudel,Rastriya Swatantra Party,RSP,39883
kaski-1,Kaski,Tilak Bahadur Ranabhat,Nepali Congress,NC,11214
kaski-1,Kaski,Bain Bahadur Chhetri (Adhikari),CPN-UML,CPN-UML,10429
kaski-2,Kaski,Uttam Prasad Paudel,Rastriya Swatantra Party,RSP,31911
kaski-2,Kaski,Rashmi Acharya,CPN-UML,CPN-UML,7493
kaski-2,Kaski,Madhav Prasad Bastola,Nepali Congress,NC,6500
kaski-3,Kaski,Bina Gurung,Rastriya Swatantra Party,RSP,37750
kaski-3,Kaski,Manoj Gurung,Nepali Congress,NC,12780
kaski-3,Kaski,Damodar Paudel Bairagi,CPN-UML,CPN-UML,7906
kathmandu-1,Kathmandu,Ranju Neupane,Rastriya Swatantra Party,RSP,15455
kathmandu-1,Kathmandu,Prabal Thapa Chhetri,Nepali Congress,NC,6364
kathmandu-1,Kathmandu,Rabindra Mishra,Rastriya Prajatantra Party,RPP,3972
kathmandu-2,Kathmandu,Sunil KC,Rastriya Swatantra Party,RSP,34238
kathmandu-2,Kathmandu,Kabir Sharma,Nepali Congress,NC,8874
kathmandu-2,Kathmandu,Kunti Devi Pokharel (Upadhyay),Rastriya Prajatantra Party,RPP,5210
kathmandu-3,Kathmandu,Raju Nath Pandey,Rastriya Swatantra Party,RSP,18756
kathmandu-3,Kathmandu,Kulman Ghising,Nepal Ujyalo Party,NUP,11171
kathmandu-3,Kathmandu,Ramesh Aryal,Nepali Congress,NC,6000
kathmandu-4,Kathmandu,Pukar Bam,Rastriya Swatantra Party,RSP,29142
kathmandu-4,Kathmandu,Sachin Timilsena,Nepali Congress,NC,8824
kathmandu-4,Kathmandu,Rajan Bhattarai,CPN-UML,CPN-UML,5733
kathmandu-5,Kathmandu,Sasmit Pokharel,Rastriya Swatantra Party,RSP,30737
kathmandu-5,Kathmandu,Pradeep Paudel,Nepali Congress,NC,9159
kathmandu-5,Kathmandu,Ishwar Pokharel,CPN-UML,CPN-UML,4701
kathmandu-6,Kathmandu,Shishir Khanal,Rastriya Swatantra Party,RSP,27719
kathmandu-6,Kathmandu,Krishna Baniya Chhetri,Nepali Congress,NC,6647
kathmandu-6,Kathmandu,Aman Kumar Maskey,CPN-UML,CPN-UML,4373
kathmandu-7,Kathmandu,Ganesh Parajuli,Rastriya Swatantra Party,RSP,27805
kathmandu-7,Kathmandu,Pramod Hari Guragain,Nepali Congress,NC,3982
kathmandu-7,Kathmandu,Basanta Prasad Manandhar,Nepal Communist Party,NCP,3667
kathmandu-8,Kathmandu,Biraj Bhakta Shrestha,Rastriya Swatantra Party,RSP,24592
kathmandu-8,Kathmandu,Suman Shayami,Nepal Communist Party,NCP,3217
kathmandu-8,Kathmandu,Sapana Rajbhandari,Nepali Congress,NC,2835
kathmandu-9,Kathmandu,Dol Prasad Aryal,Rastriya Swatantra Party,RSP,35093
kathmandu-9,Kathmandu,Nanu Maiya Bastola,Nepali Congress,NC,5460
kathmandu-9,Kathmandu,Ajay Kranti Shakya,CPN-UML,CPN-UML,4580
kathmandu-10,Kathmandu,Pradip Bista,Rastriya Swatantra Party,RSP,37469
kathmandu-10,Kathmandu,Himal Karki,Nepali Congress,NC,8100
kathmandu-10,Kathmandu,Binod Shrestha,CPN-UML,CPN-UML,4864
kavrepalanchok-1,Kavrepalanchok,Madhu Kumar Chaulagain,Rastriya Swatantra Party,RSP,29618
kavrepalanchok-1,Kavrepalanchok,Gunraj Tamang,Nepali Congress,NC,19166
kavrepalanchok-1,Kavrepalanchok,Gin Nath Gautam,Nepal Communist Party,NCP,14184
kavrepalanchok-2,Kavrepalanchok,Badan Kumar Bhandari,Rastriya Swatantra Party,RSP,53344
kavrepalanchok-2,Kavrepalanchok,Madhu Prasad Acharya,Nepali Congress,NC,17868
kavrepalanchok-2,Kavrepalanchok,Ashok Kumar Byanju Shrestha,CPN-UML,CPN-UML,13940
lalitpur-1,Lalitpur,Budda Ratna Maharjan,Rastriya Swatantra Party,RSP,23373
lalitpur-1,Lalitpur,Uday Shumsher J.B. Rana,Nepali Congress,NC,13520
lalitpur-1,Lalitpur,Chet Nath Sanjel,CPN-UML,CPN-UML,6546
lalitpur-2,Lalitpur,Jagadish Kharel,Rastriya Swatantra Party,RSP,39491
lalitpur-2,Lalitpur,Prem Krishna Maharjan,Nepali Congress,NC,7420
lalitpur-2,Lalitpur,Raja Ram Tandukar,Nepal Ujyalo Party,NUP,5547
lalitpur-3,Lalitpur,Tosima Karki,Rastriya Swatantra Party,RSP,43096
lalitpur-3,Lalitpur,Jitendra Kumar Shrestha,Nepali Congress,NC,9045
lalitpur-3,Lalitpur,Raj Kaji Maharjan,Nepal Communist Party,NCP,6022
lamjung-1,Lamjung,Dharma Raj K.C.,Rastriya Swatantra Party,RSP,33898
lamjung-1,Lamjung,Prithvi Subba Gurung,CPN-UML,CPN-UML,16876
lamjung-1,Lamjung,Gam Prasad Gurung,Nepali Congress,NC,16569
mahottari-1,Mahottari,Pramod Kumar Mahato,Rastriya Swatantra Party,RSP,34636
mahottari-1,Mahottari,Giriraj Mani Pokharel,Nepal Communist Party,NCP,12624
mahottari-1,Mahottari,Laxmi Mahato Koir,CPN-UML,CPN-UML,6591
mahottari-2,Mahottari,Deepak Kumar Sah,Rastriya Swatantra Party,RSP,32722
mahottari-2,Mahottari,Sharat Singh Bhandari,Janata Samajwadi Party,JSP,10198
mahottari-2,Mahottari,Kiran Yadav,Nepali Congress,NC,9745
mahottari-3,Mahottari,Ujjawal Kumar Jha,Rastriya Swatantra Party,RSP,32451
mahottari-3,Mahottari,Muhamad Rijwan,Nepal Sangyhia Samajbadi Party,Ekal Chunab Chinha,5969
mahottari-3,Mahottari,Ram Aadhar Kapar,Independent,IND,4790
mahottari-4,Mahottari,Gauri Kumari,Rastriya Swatantra Party,RSP,30132
mahottari-4,Mahottari,Surendra Kumar Yadav,Janata Samajwadi Party,JSP,8742
mahottari-4,Mahottari,Mahendra Kumar Raya,Nepali Congress,NC,6944
makwanpur-1,Makwanpur,Prakash Gautam,Rastriya Swatantra Party,RSP,36033
makwanpur-1,Makwanpur,Mahalaxmi Upadhyay (Dina),Nepali Congress,NC,14038
makwanpur-1,Makwanpur,Rameshwar Rana Magar,CPN-UML,CPN-UML,12783
makwanpur-2,Makwanpur,Prashant Upreti,Rastriya Swatantra Party,RSP,30050
makwanpur-2,Makwanpur,Mahesh Kumar Bartaula,CPN-UML,CPN-UML,18846
makwanpur-2,Makwanpur,Buddha Lama,Nepali Congress,NC,15056
morang-1,Morang,Yagnmani Neupane,Rastriya Swatantra Party,RSP,27367
morang-1,Morang,Shanti Pakhrin Lama,Shram Sanskriti Party,SSP,17522
morang-1,Morang,Khadga Bahadur Phago,Nepali Congress,NC,11986
morang-2,Morang,Krishna Kumar Karki,Rastriya Swatantra Party,RSP,40924
morang-2,Morang,Dilip Kumar Agrawal,CPN-UML,CPN-UML,15624
morang-2,Morang,Minendra Prasad Rijal,Nepali Congress,NC,12764
morang-3,Morang,Ganesh Karki,Rastriya Swatantra Party,RSP,36924
morang-3,Morang,Shunil Kumar Sharma,Nepali Congress,NC,24354
morang-3,Morang,Amir Magar,Shram Sanskriti Party,SSP,16509
morang-4,Morang,Santosh Rajbanshi,Rastriya Swatantra Party,RSP,40833
morang-4,Morang,Guru Raj Ghimire,Nepali Congress,NC,12818
morang-4,Morang,Aman Lal Modi,Nepal Communist Party,NCP,10762
morang-5,Morang,Aasha Jha,Rastriya Swatantra Party,RSP,30434
morang-5,Morang,Phul Kumar Lalwani,Nepali Congress,NC,9415
morang-5,Morang,Raj Kumar Yadav,Janata Samajwadi Party,JSP,8747
morang-6,Morang,Rubina Acharya,Rastriya Swatantra Party,RSP,55513
morang-6,Morang,Dr. Shekhar Koirala,Nepali Congress,NC,12850
morang-6,Morang,Binod Prasad Dhakal,CPN-UML,CPN-UML,8317
nawalparasi-east-1,Nawalparasi-East,Rajan Gautam,Rastriya Swatantra Party,RSP,50945
nawalparasi-east-1,Nawalparasi-East,Bal Krishna Ghimire,Nepali Congress,NC,16293
nawalparasi-east-1,Nawalparasi-East,Bhagirath Sapkota,CPN-UML,CPN-UML,9131
nawalparasi-east-2,Nawalparasi-East,Manish Khanal,Rastriya Swatantra Party,RSP,41347
nawalparasi-east-2,Nawalparasi-East,Til Bahadur Mahat Chhetri,CPN-UML,CPN-UML,15755
nawalparasi-east-2,Nawalparasi-East,Om Bahadur Gharti,Nepali Congress,NC,14713
nawalparasi-west-1,Nawalparasi-West,Bikram Khanal,Rastriya Swatantra Party,RSP,45241
nawalparasi-west-1,Nawalparasi-West,Binod Kumar Chaudhary,Nepali Congress,NC,9502
nawalparasi-west-1,Nawalparasi-West,Ram Prasad Pandey,CPN-UML,CPN-UML,7956
nawalparasi-west-2,Nawalparasi-West,Narendra Kumar Gupta,Rastriya Swatantra Party,RSP,44138
nawalparasi-west-2,Nawalparasi-West,Bhim Bahadur Thapa Chhetri,Nepali Congress,NC,15945
nawalparasi-west-2,Nawalparasi-West,Devendra Yadav,Janata Samajwadi Party,JSP,7212
